ID,First Name,Last Name,Gender,Date of Joining,Company,Department,Designation,Status,Company Email,Mobile,Employee Number,Date of Birth,Reports to
3,Ralf,Ortmann,Female,2022-12-15,Velo GmbH,Sales,Sales Representative,Active,ralf.ortmann@velo-gmbh.de,+493450847316,S0003,1984-03-09,2
4,Antonia,Ernst,Female,2023-05-30,Velo GmbH,Sales,Sales Representative,Active,antonia.ernst@velo-gmbh.de,+499711811651,S0004,1975-10-29,3
5,Kata,Dowerg,Male,2021-06-11,Velo GmbH,Sales,Sales Representative,Active,kata.dowerg@velo-gmbh.de,+493401243741,S0005,1983-05-18,3
6,Aloys,Wieloch,Female,2022-11-07,Velo GmbH,Sales,Sales Representative,Active,aloys.wieloch@velo-gmbh.de,+493811060476,S0006,1977-05-18,3
7,Univ.Prof.,Reinald Römer B.Sc.,Female,2021-02-15,Velo GmbH,Sales,Sales Representative,Active,univprof.reinald.römer.bsc@velo-gmbh.de,+498011592231,S0007,1987-05-31,4
8,Anne-Rose,Juncken-Heinrich,Female,2020-05-15,Velo GmbH,Sales,Sales Representative,Active,annerose.junckenheinrich@velo-gmbh.de,+499528688885,S0008,1985-05-27,4
9,Hans-J.,Drub,Male,2024-01-28,Velo GmbH,Sales,Sales Representative,Active,hansj.drub@velo-gmbh.de,+495874893415,S0009,1986-09-11,4
10,Prof.,Heinfried Eigenwillig B.Eng.,Female,2021-04-12,Velo GmbH,Sales,Sales Representative,Active,prof.heinfried.eigenwillig.beng@velo-gmbh.de,+491263946471,S0010,1984-02-13,5
11,Ignaz,Hartung MBA.,Female,2023-04-05,Velo GmbH,Sales,Sales Representative,Active,ignaz.hartung.mba@velo-gmbh.de,+498534238790,S0011,1995-05-01,5
12,Dipl.-Ing.,Charles Beier,Male,2020-01-17,Velo GmbH,Sales,Sales Representative,Active,dipling.charles.beier@velo-gmbh.de,+494999717537,S0012,1994-05-13,5
13,Knud,Beckmann,Female,2022-04-02,Velo GmbH,Sales,Sales Representative,Active,knud.beckmann@velo-gmbh.de,+494689033008,S0013,1984-03-13,6
14,Ulrich,Täsche,Male,2022-04-24,Velo GmbH,Sales,Sales Representative,Active,ulrich.täsche@velo-gmbh.de,+491478843725,S0014,2000-12-14,6
15,Univ.Prof.,Wieland Schweitzer,Female,2020-11-12,Velo GmbH,Sales,Sales Representative,Active,univprof.wieland.schweitzer@velo-gmbh.de,+494847023919,S0015,1992-02-20,6
