ID,Customer Name,Customer Type,Customer Group,Territory,Mobile No,Email Id,Default Price List,Billing Currency,From Lead,Industry,Website,Tax ID,Customer POS id,Salutation,Gender
CUST-B2B-1962,Förster,Company,B2B,Germany,08542 98888,keudelliesel@mielcarek.de,Standard Selling,EUR,LEAD-12232,Electronics,budig.de,DE47230779162,POS-6006,,
CUST-B2B-4322,Schmidt AG,Company,Wholesale,Germany,0893660251,mechthildboerner@schmiedt.net,Standard Selling,EUR,LEAD-34504,Electronics,flantz.de,DE27989578219,POS-5297,,
CUST-B2B-8156,Gertz GmbH,Company,B2B,Switzerland,(05703) 465447,lrosenow@martin.com,Wholesale Price,EUR,LEAD-54387,Manufacturing,klemm.org,DE76803173911,POS-4205,,
CUST-B2B-6260,Zänker,Company,B2B,Austria,04184574183,curthecker@bloch.net,Wholesale Price,EUR,LEAD-40146,Sports,werner.net,DE21281578731,POS-3824,,
CUST-B2B-3358,Thies Rudolph AG & Co. KGaA,Company,Wholesale,Switzerland,+49 (0) 4694 705879,scholldursun@hamann.de,Standard Selling,EUR,LEAD-78741,Consumer Products,schmiedt.com,DE14118072102,POS-5675,,
CUST-B2B-2876,Kabus Atzler AG & Co. KG,Company,B2B,Switzerland,+49(0)4332 502378,dbaehr@kraushaar.org,Wholesale Price,EUR,LEAD-55935,Entertainment & Leisure,kramer.net,DE86964015729,POS-3022,,
CUST-B2B-6552,Lorch Mude KG,Company,B2B,Austria,0115033621,rainerbloch@losekann.de,Wholesale Price,EUR,LEAD-67711,Sports,scheuermann.de,DE68607322720,POS-3528,,
CUST-B2B-8125,Losekann Kranz Stiftung & Co. KG,Company,Wholesale,Austria,+49(0)6927882766,florencehornig@meyer.de,Standard Selling,EUR,LEAD-85956,Retail & Wholesale,hesse.de,DE66969737130,POS-2409,,
CUST-B2B-7736,Adolph Bloch AG & Co. KG,Company,Wholesale,Austria,(04507) 680677,bstiebitz@ruppert.com,Wholesale Price,EUR,LEAD-46791,Education,fiebig.com,DE41503248989,POS-3286,,
CUST-B2B-8911,Bloch,Company,Wholesale,Austria,0096719185,ilhan36@heinz.com,Standard Selling,EUR,LEAD-30557,Energy,wiek.org,DE30025520809,POS-9696,,
CUST-B2B-8249,Jäntsch Kohl AG & Co. KGaA,Company,B2B,Switzerland,(01748) 83899,dklapp@vogt.de,Wholesale Price,EUR,LEAD-40606,Electronics,luebs.de,DE30657143980,POS-9014,,
CUST-B2B-1410,Bauer Jockel GbR,Company,B2B,Switzerland,00404 18041,zimmerhenny@berger.de,Standard Selling,EUR,LEAD-26432,Retail & Wholesale,wagenknecht.com,DE33210045292,POS-6110,,
CUST-B2B-4607,Hethur Stiftung & Co. KGaA,Company,Wholesale,Switzerland,+49(0)7478 742979,buchholzira@albers.net,Wholesale Price,EUR,LEAD-30791,Education,gutknecht.de,DE13449552319,POS-9231,,
CUST-B2B-6130,Sontag Dehmel GmbH,Company,B2B,Switzerland,04272 908411,xhahn@linke.de,Standard Selling,EUR,LEAD-70546,Education,vollbrecht.de,DE43028275918,POS-0747,,
CUST-B2B-4387,Hellwig GbR,Company,B2B,Germany,(01221) 95861,ekostolzin@bohnbach.com,Wholesale Price,EUR,LEAD-99503,Technology,weinhage.com,DE66624574290,POS-2225,,
CUST-B2B-4806,Hande Löchel GmbH & Co. OHG,Company,Wholesale,Austria,08530319628,lutz03@jungfer.de,Wholesale Price,EUR,LEAD-16780,Retail & Wholesale,hermann.com,DE47516307344,POS-8287,,
CUST-B2B-4684,Dehmel Schaaf KGaA,Company,Wholesale,Switzerland,(08439) 502703,henckmelissa@segebahn.net,Wholesale Price,EUR,LEAD-44711,Electronics,atzler.com,DE74827120359,POS-4386,,
CUST-B2B-7067,Hermann AG,Company,B2B,Germany,+49(0) 948607261,zobelsiegbert@davids.com,Wholesale Price,EUR,LEAD-50979,Health Care,poelitz.com,DE62326581378,POS-0760,,
CUST-B2B-2852,Hörle Kreusel KG,Company,B2B,Austria,+49(0) 308054624,ali50@doering.de,Wholesale Price,EUR,LEAD-57142,Consumer Products,maelzer.com,DE07973497197,POS-7310,,
CUST-B2B-2068,Aumann Binner Stiftung & Co. KG,Company,B2B,Switzerland,+49(0)8143 258171,svealinke@finke.org,Wholesale Price,EUR,LEAD-32986,Service,jockel.de,DE80750932731,POS-9671,,
CUST-B2B-2027,Kuhl Boucsein e.V.,Company,Wholesale,Switzerland,05052 86442,emmi49@schweitzer.de,Wholesale Price,EUR,LEAD-60742,Transportation,jopich.de,DE80445887669,POS-2745,,
CUST-B2B-8188,Hein Ritter GmbH & Co. KG,Company,Wholesale,Germany,03929 02078,nicolai13@reinhardt.com,Standard Selling,EUR,LEAD-73109,Electronics,herrmann.de,DE56357253478,POS-2286,,
CUST-B2B-5821,Bonbach,Company,Wholesale,Austria,04268631241,ysuessebier@aumann.de,Standard Selling,EUR,LEAD-89775,Manufacturing,ruppert.com,DE20880473720,POS-0558,,
CUST-B2B-6844,Neureuther,Company,Wholesale,Switzerland,0770570000,hthanel@henk.de,Standard Selling,EUR,LEAD-69603,Consumer Products,wiek.com,DE18935805313,POS-7100,,
CUST-B2B-3375,Austermühle GmbH & Co. KGaA,Company,B2B,Switzerland,0786594767,manfred19@langern.de,Wholesale Price,EUR,LEAD-39231,Entertainment & Leisure,bender.de,DE60128142917,POS-7343,,
CUST-B2B-8009,Kruschwitz,Company,Wholesale,Switzerland,0051086097,zstoll@schmidt.org,Wholesale Price,EUR,LEAD-89435,Sports,wiek.org,DE54081277898,POS-0262,,
CUST-B2B-8564,Gröttner,Company,Wholesale,Austria,+49 (0) 6764 798239,frieda75@kraushaar.com,Standard Selling,EUR,LEAD-44959,Health Care,gertz.net,DE13271724792,POS-0885,,
CUST-B2B-9403,Kruschwitz,Company,Wholesale,Austria,+49 (0) 1464 631138,elise41@misicher.com,Standard Selling,EUR,LEAD-10964,Energy,koch.com,DE80650358240,POS-6818,,
CUST-B2B-4709,Jüttner Warmer KG,Company,Wholesale,Austria,03224 29440,srosemann@stiffel.de,Wholesale Price,EUR,LEAD-74757,Retail & Wholesale,wilmsen.org,DE89254434272,POS-4239,,
CUST-B2B-8036,Junitz Ebert GmbH,Company,B2B,Germany,(03010) 682208,iroht@mans.com,Wholesale Price,EUR,LEAD-93665,Education,schueler.de,DE20719733310,POS-2678,,
CUST-B2B-9932,Häring,Company,B2B,Austria,02508 98085,gundiadolph@barkholz.de,Standard Selling,EUR,LEAD-30267,Electronics,baehr.com,DE80437127690,POS-5890,,
CUST-B2B-3602,Caspar,Company,B2B,Austria,(08376) 79406,xklemm@beier.de,Wholesale Price,EUR,LEAD-92682,Consumer Products,hamann.com,DE22729959629,POS-9417,,
CUST-B2B-5261,Hauffer Hänel GmbH & Co. KG,Company,B2B,Germany,+49(0)7350971143,pfinke@zahn.de,Wholesale Price,EUR,LEAD-29828,Service,eckbauer.com,DE54106405759,POS-9605,,
CUST-B2B-3853,Täsche KG,Company,B2B,Switzerland,(00921) 141330,moniqueweinhage@thanel.org,Standard Selling,EUR,LEAD-89934,Automotive,stolze.de,DE71286555862,POS-8242,,
CUST-B2B-1371,Becker Meister GbR,Company,Wholesale,Germany,04560767772,cgiess@hornig.org,Wholesale Price,EUR,LEAD-76627,Energy,rogge.com,DE46193923276,POS-1571,,
CUST-B2B-7032,Kühnert,Company,B2B,Switzerland,+49(0) 985853469,rena79@fliegner.com,Wholesale Price,EUR,LEAD-76417,Manufacturing,doering.com,DE26319771368,POS-9867,,
CUST-B2B-4937,Hellwig AG & Co. KG,Company,Wholesale,Germany,(01862) 052984,nroehrdanz@heinz.de,Standard Selling,EUR,LEAD-98361,Sports,spiess.de,DE20726155362,POS-7053,,
CUST-B2B-3254,Gunpf KG,Company,Wholesale,Germany,0285773378,juettnerclemens@butte.de,Standard Selling,EUR,LEAD-32375,Consumer Products,werner.com,DE01185198857,POS-3915,,
CUST-B2B-5700,Möchlichen e.V.,Company,Wholesale,Austria,(00873) 72525,dianaholt@kaul.de,Wholesale Price,EUR,LEAD-21150,Education,bolzmann.de,DE46294698126,POS-5237,,
CUST-B2B-9604,Kabus Stiftung & Co. KG,Company,B2B,Germany,08697748075,marieluise27@rogge.de,Wholesale Price,EUR,LEAD-35910,Automotive,lange.de,DE42672757629,POS-6477,,
CUST-B2B-3995,Mitschke Bauer AG,Company,Wholesale,Germany,(08945) 46167,lukasneureuther@schomber.com,Wholesale Price,EUR,LEAD-44371,Education,beer.org,DE41932852095,POS-7083,,
CUST-B2B-7467,Davids,Company,B2B,Switzerland,(06455) 71389,kathi28@dehmel.org,Standard Selling,EUR,LEAD-38490,Transportation,christoph.com,DE55858777553,POS-5644,,
CUST-B2B-1923,Hauffer,Company,B2B,Austria,0192575379,burckhard68@matthaei.com,Standard Selling,EUR,LEAD-58812,Automotive,gutknecht.de,DE87762133305,POS-1387,,
CUST-B2B-6518,Holsten KG,Company,Wholesale,Germany,+49(0)9950236270,janos33@jockel.org,Standard Selling,EUR,LEAD-98491,Manufacturing,saeuberlich.de,DE42751870483,POS-4836,,
CUST-B2B-2809,Holzapfel AG,Company,Wholesale,Austria,(06630) 85848,hans-guentherweller@wulff.net,Standard Selling,EUR,LEAD-48584,Transportation,bloch.de,DE44819209847,POS-3008,,
CUST-B2B-4017,Trüb,Company,B2B,Switzerland,08978607536,marianna78@roehricht.de,Standard Selling,EUR,LEAD-29766,Consumer Products,roskoth.de,DE57238709076,POS-1596,,
CUST-B2B-6769,Ackermann Ernst e.V.,Company,B2B,Germany,09947 17153,bertahoffmann@butte.com,Standard Selling,EUR,LEAD-78907,Sports,kroker.de,DE07912595165,POS-2875,,
CUST-B2B-4210,Austermühle e.V.,Company,Wholesale,Germany,07165524050,jungferramazan@mohaupt.com,Wholesale Price,EUR,LEAD-35781,Service,reuter.org,DE88704453235,POS-0774,,
CUST-B2B-1251,Wulf Heinz GmbH & Co. OHG,Company,Wholesale,Austria,08760 285626,dorlehethur@bender.com,Wholesale Price,EUR,LEAD-81236,Sports,ritter.de,DE11561598857,POS-5381,,
CUST-B2B-8524,Plath,Company,B2B,Germany,+49(0)1567 838718,reinhardtjacqueline@klingelhoefer.com,Standard Selling,EUR,LEAD-96977,Transportation,herrmann.de,DE19254809195,POS-0712,,
CUST-B2C-6387,Gudrun Linke,Individual,Retail,Austria,00015 89972,gudrunlinke@example.com,Standard Selling,EUR,,,,,,Mrs,Male
CUST-B2C-1451,Michail Wagenknecht,Individual,B2C,Austria,+49 (0) 7355 292685,michailwagenknecht@example.com,Standard Selling,EUR,,,,,,Mr,Other
CUST-B2C-1390,Frau Marlies Bien,Individual,Retail,Germany,03962 457573,fraumarliesbien@example.com,Standard Selling,EUR,,,,,,Mrs,Female
CUST-B2C-5998,Walburga Geisel,Individual,Retail,Germany,(04037) 956022,walburgageisel@example.com,Standard Selling,EUR,,,,,,Prof,Other
CUST-B2C-6473,Irma Mülichen B.Sc.,Individual,B2C,Austria,+49(0)0313 49165,irmamülichenbsc@example.com,Standard Selling,EUR,,,,,,Ms,Female
CUST-B2C-9868,Thilo Gierschner,Individual,B2C,Germany,07251 47643,thilogierschner@example.com,Standard Selling,EUR,,,,,,Mr,Other
CUST-B2C-1597,Pascal Herrmann B.A.,Individual,B2C,Austria,+49(0)7829515404,pascalherrmannba@example.com,Standard Selling,EUR,,,,,,Mr,Female
CUST-B2C-5305,Edeltraut Wagner,Individual,Retail,Germany,09197 81672,edeltrautwagner@example.com,Standard Selling,EUR,,,,,,Prof,Female
CUST-B2C-5535,Katharine Bolander MBA.,Individual,Retail,Germany,+49(0) 621544335,katharinebolandermba@example.com,Standard Selling,EUR,,,,,,Mrs,Male
CUST-B2C-9189,Ing. Herlinde Hentschel,Individual,Retail,Germany,+49(0)2312 02901,ingherlindehentschel@example.com,Standard Selling,EUR,,,,,,Dr,Female
CUST-B2C-5843,Käte Pergande-Lachmann,Individual,Retail,Switzerland,05040 65303,kätepergandelachmann@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-6852,Emil Freudenberger-Ullrich,Individual,B2C,Switzerland,(06442) 95396,emilfreudenbergerullrich@example.com,Standard Selling,EUR,,,,,,Dr,Other
CUST-B2C-8295,Prof. Carl Klemt,Individual,B2C,Germany,0290517858,profcarlklemt@example.com,Standard Selling,EUR,,,,,,Mrs,Female
CUST-B2C-9531,Abdullah Pieper,Individual,B2C,Germany,02284 505296,abdullahpieper@example.com,Standard Selling,EUR,,,,,,Dr,Other
CUST-B2C-5071,Hasan Reising,Individual,B2C,Germany,(05079) 77478,hasanreising@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-1503,Emmerich Pohl,Individual,B2C,Austria,+49 (0) 2504 680263,emmerichpohl@example.com,Standard Selling,EUR,,,,,,Dr,Female
CUST-B2C-8013,Frau Gerlinde Gumprich,Individual,B2C,Switzerland,08158 960867,fraugerlindegumprich@example.com,Standard Selling,EUR,,,,,,Mr,Male
CUST-B2C-5130,Prof. Semra Köhler MBA.,Individual,B2C,Germany,05571 685601,profsemraköhlermba@example.com,Standard Selling,EUR,,,,,,Mrs,Female
CUST-B2C-7806,Miroslawa Pergande,Individual,B2C,Germany,05450 95549,miroslawapergande@example.com,Standard Selling,EUR,,,,,,Ms,Male
CUST-B2C-1000,Ing. Luise Baum,Individual,B2C,Germany,+49(0)3866 78180,ingluisebaum@example.com,Standard Selling,EUR,,,,,,Prof,Other
CUST-B2C-1720,Ada Siering,Individual,B2C,Germany,(06665) 20734,adasiering@example.com,Standard Selling,EUR,,,,,,Ms,Female
CUST-B2C-9703,Frau Leonore Juncken,Individual,B2C,Austria,08621531866,frauleonorejuncken@example.com,Standard Selling,EUR,,,,,,Prof,Other
CUST-B2C-8216,Prof. Dorothee Adler B.Eng.,Individual,Retail,Switzerland,+49(0)0837979059,profdorotheeadlerbeng@example.com,Standard Selling,EUR,,,,,,Dr,Female
CUST-B2C-8618,Woldemar Schmiedt,Individual,Retail,Germany,+49 (0) 9892 052484,woldemarschmiedt@example.com,Standard Selling,EUR,,,,,,Prof,Other
CUST-B2C-6449,Dunja Junitz,Individual,Retail,Germany,+49(0)6800830712,dunjajunitz@example.com,Standard Selling,EUR,,,,,,Dr,Male
CUST-B2C-9643,Margot Schleich B.Eng.,Individual,B2C,Switzerland,+49(0)8417183644,margotschleichbeng@example.com,Standard Selling,EUR,,,,,,Mrs,Female
CUST-B2C-7732,Alexandra Davids,Individual,B2C,Austria,+49(0)9175438998,alexandradavids@example.com,Standard Selling,EUR,,,,,,Prof,Male
CUST-B2C-6303,Dipl.-Ing. Dana Müller,Individual,Retail,Switzerland,+49 (0) 2345 110694,diplingdanamüller@example.com,Standard Selling,EUR,,,,,,Prof,Female
CUST-B2C-6867,Sibilla Dippel B.Sc.,Individual,Retail,Germany,0797670683,sibilladippelbsc@example.com,Standard Selling,EUR,,,,,,Prof,Other
CUST-B2C-1271,Ildiko Henck,Individual,B2C,Switzerland,+49(0) 928749935,ildikohenck@example.com,Standard Selling,EUR,,,,,,Ms,Male
CUST-B2C-6204,Frau Janina Hahn MBA.,Individual,Retail,Austria,+49 (0) 8748 450589,fraujaninahahnmba@example.com,Standard Selling,EUR,,,,,,Prof,Female
CUST-B2C-5756,Dr. Abraham Knappe MBA.,Individual,Retail,Germany,(01418) 34910,drabrahamknappemba@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-2972,Zoltan Biggen-Gude,Individual,Retail,Germany,02689 64663,zoltanbiggengude@example.com,Standard Selling,EUR,,,,,,Mrs,Other
CUST-B2C-1749,Hans-Rudolf Loos,Individual,B2C,Switzerland,06544516639,hansrudolfloos@example.com,Standard Selling,EUR,,,,,,Mr,Other
CUST-B2C-8237,Ole Blümel,Individual,B2C,Switzerland,+49(0)0618 24590,oleblümel@example.com,Standard Selling,EUR,,,,,,Dr,Male
CUST-B2C-2876,Jutta Hornig,Individual,B2C,Austria,+49(0)3473 834956,juttahornig@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-8088,Elvira Ditschlerin B.A.,Individual,B2C,Switzerland,+49(0)5783 867884,elviraditschlerinba@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-8220,Hans-Ulrich Hölzenbecher,Individual,Retail,Switzerland,00913 339512,hansulrichhölzenbecher@example.com,Standard Selling,EUR,,,,,,Mr,Female
CUST-B2C-2928,Flora Eigenwillig,Individual,B2C,Germany,(03472) 585182,floraeigenwillig@example.com,Standard Selling,EUR,,,,,,Dr,Male
CUST-B2C-7889,Friedo Dobes,Individual,B2C,Germany,+49(0)6869 451899,friedodobes@example.com,Standard Selling,EUR,,,,,,Mrs,Other
CUST-B2C-8879,Nelly Butte,Individual,Retail,Germany,+49(0)3951 75735,nellybutte@example.com,Standard Selling,EUR,,,,,,Dr,Female
CUST-B2C-5050,Siegward Stiffel,Individual,B2C,Austria,+49(0)4164 45945,siegwardstiffel@example.com,Standard Selling,EUR,,,,,,Dr,Other
CUST-B2C-5258,Daniela Beyer,Individual,B2C,Switzerland,07033161928,danielabeyer@example.com,Standard Selling,EUR,,,,,,Dr,Female
CUST-B2C-7701,Werner Heintze B.Eng.,Individual,Retail,Austria,+49 (0) 2507 135165,wernerheintzebeng@example.com,Standard Selling,EUR,,,,,,Mrs,Other
CUST-B2C-3256,David Ladeck,Individual,Retail,Austria,+49(0)0870874891,davidladeck@example.com,Standard Selling,EUR,,,,,,Ms,Female
CUST-B2C-4657,Dr. Elisa Etzler,Individual,Retail,Switzerland,+49 (0) 4298 070627,drelisaetzler@example.com,Standard Selling,EUR,,,,,,Mrs,Other
CUST-B2C-4467,Dr. Nikolas Dehmel,Individual,Retail,Austria,(01529) 401089,drnikolasdehmel@example.com,Standard Selling,EUR,,,,,,Ms,Other
CUST-B2C-8952,Catharina Losekann-Seifert,Individual,B2C,Germany,(04883) 944011,catharinalosekannseifert@example.com,Standard Selling,EUR,,,,,,Mr,Female
CUST-B2C-9312,Gudrun Becker B.Sc.,Individual,Retail,Austria,+49 (0) 7415 663166,gudrunbeckerbsc@example.com,Standard Selling,EUR,,,,,,Prof,Female
