Default Unit of Measure,Item Code,Item Group,Allow Alternative Item,Allow Negative Stock,Allow Purchase,Allow Sales,Description,Has Batch No,Has Serial No,Include Item In Manufacturing,Is Fixed Asset,Item Name,Maintain Stock,Standard Selling Rate,Valuation Rate,Warranty Period (in days),Weight Per Unit,Weight UOM,Serial Number Series,Batch Number Series,Default Expense Account (Item Defaults)
Nos,EBIKE-0001,E-Bikes,1,0,0,1,E-Bike: Vielseitig einsetzbar für lange Touren und Alltagsfahrten. Robust und bequem. Mit leistungsstarkem Elektromotor für mühelose Fahrten.,,1,1,0,Velo E-Trekking 576,1,861.32,679.13,373,13.73,Kg,EBIKE-SERIES-,,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,BIKE-0002,Fahrräder,1,0,0,1,Perfekt für den urbanen Alltag. Komfortabel und wendig für Fahrten in der Stadt.,,1,1,0,Velo City 442,1,1787.27,340.73,551,10.18,Kg,BIKE-SERIES-,,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0001,Fahrradkomponenten,1,0,1,1,Gerader Lenker für aufrechte Sitzposition und gute Kontrolle.,1,,1,0,Lenker Flatbar,1,226.27,82.28,236,2.62,Kg,,BATCH-LEN-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0002,Fahrradkomponenten,1,0,1,1,"Reifen Straße 28"": Hochwertige Komponente für optimale Leistung.",1,,1,0,"Reifen Straße 28""",1,362.27,174.42,192,2.34,Kg,,BATCH-REI-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0003,Fahrradkomponenten,1,0,1,1,Controller Leistungsstark: Hochwertige Komponente für optimale Leistung.,1,,1,0,Controller Leistungsstark,1,344.76,45.47,345,0.29,Kg,,BATCH-CON-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0004,Fahrradkomponenten,1,0,1,1,Laufräder 28 Zoll: Hochwertige Komponente für optimale Leistung.,1,,1,0,Laufräder 28 Zoll,1,130.14,75.85,192,4.06,Kg,,BATCH-LAU-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0005,Fahrradkomponenten,1,0,1,1,Moderne 1x12 MTB-Schaltung für einfache Bedienung und große Übersetzungsbandbreite.,1,,1,0,Schaltung 1x12 MTB,1,194.98,162.2,138,4.03,Kg,,BATCH-SCH-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0006,Fahrradkomponenten,1,0,1,1,Display LCD: Hochwertige Komponente für optimale Leistung.,1,,1,0,Display LCD,1,202.29,135.95,213,3.18,Kg,,BATCH-DIS-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0007,Fahrradkomponenten,1,0,1,1,Motor Mittelmotor 500W: Hochwertige Komponente für optimale Leistung.,1,,1,0,Motor Mittelmotor 500W,1,369.56,68.08,294,4.06,Kg,,BATCH-MOT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos,COMP-0008,Fahrradkomponenten,1,0,1,1,Motor Nabenmotor Vorderrad: Hochwertige Komponente für optimale Leistung.,1,,1,0,Motor Nabenmotor Vorderrad,1,80.77,186.9,116,0.99,Kg,,BATCH-MOT-,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
