ID,Customer Name,Customer Type,Customer Group,Territory,Mobile No,Email Id,Default Price List,Billing Currency,From Lead,Industry,Website,Tax ID,Customer POS id,Salutation,Gender
CUST-B2B-7596,Textor Keudel GmbH & Co. KG,Company,Wholesale,Germany,01597064224,textorkeudelgmbhcokg@example.com,Standard Selling,EUR,False,Augenoptiker,mueller.org,DE74769973836,POS-8890,,
CUST-B2B-9034,Hendriks,Company,Wholesale,Austria,+49(0)9480516422,hendriks@example.com,Standard Selling,EUR,True,Pilot,berger.de,DE69166074574,POS-5555,,
CUST-B2B-4292,Wilms Stumpf AG,Company,B2B,Switzerland,08494 662871,wilmsstumpfag@example.com,Standard Selling,EUR,True,Techniker,becker.com,DE86066290841,POS-3398,,
CUST-B2B-9316,Pruschke,Company,B2B,Switzerland,+49(0)0299 39384,pruschke@example.com,Wholesale Price,EUR,False,Informatiker,stiffel.de,DE26791467219,POS-7057,,
CUST-B2B-1180,Spieß Stiftung & Co. KGaA,Company,Wholesale,Germany,+49(0)8613132073,spießstiftungcokgaa@example.com,Wholesale Price,EUR,False,Bankkaufmann,loeffler.net,DE15145155119,POS-1758,,
CUST-B2B-3718,Reichmann Stahr AG & Co. OHG,Company,B2B,Germany,05594 278914,reichmannstahragcoohg@example.com,Standard Selling,EUR,False,Medizininformatiker,baum.com,DE22572770355,POS-6601,,
CUST-B2B-4330,Dobes Jopich AG,Company,Wholesale,Austria,+49 (0) 9611 630267,dobesjopichag@example.com,Wholesale Price,EUR,True,Drogist,margraf.com,DE11316306264,POS-6799,,
CUST-B2B-8769,Fritsch,Company,B2B,Germany,+49 (0) 2477 411451,fritsch@example.com,Standard Selling,EUR,True,Friseur,johann.com,DE37559156708,POS-0766,,
CUST-B2B-6472,Ruppert,Company,B2B,Germany,0164601259,ruppert@example.com,Standard Selling,EUR,True,Arzt,hermann.com,DE98173081947,POS-1205,,
CUST-B2B-3658,Wirth,Company,Wholesale,Germany,(00412) 17754,wirth@example.com,Wholesale Price,EUR,True,Drogist,geisler.de,DE67151225172,POS-7225,,
CUST-B2C-1231,Franz Birnbaum,Individual,B2C,Austria,07355 40830,franzbirnbaum@example.com,Standard Selling,EUR,True,,,,,Mrs,Other
CUST-B2C-8393,Walli Wulf B.Sc.,Individual,B2C,Switzerland,0107610533,walliwulfbsc@example.com,Standard Selling,EUR,True,,,,,Mrs,Other
CUST-B2C-8013,Yasemin Rohleder,Individual,Retail,Germany,04010536913,yaseminrohleder@example.com,Standard Selling,EUR,False,,,,,Dr,Other
CUST-B2C-5495,Waltraud Gröttner,Individual,B2C,Germany,+49(0)7730 85159,waltraudgröttner@example.com,Standard Selling,EUR,True,,,,,Prof,Other
CUST-B2C-8416,Univ.Prof. Katerina Klapp,Individual,Retail,Austria,(05956) 36074,univprofkaterinaklapp@example.com,Standard Selling,EUR,True,,,,,Mr,Female
CUST-B2C-8975,Raphael Stoll,Individual,B2C,Germany,0328989548,raphaelstoll@example.com,Standard Selling,EUR,False,,,,,Mr,Male
CUST-B2C-2832,Charlotte Girschner,Individual,B2C,Germany,00656 98208,charlottegirschner@example.com,Standard Selling,EUR,False,,,,,Mrs,Male
CUST-B2C-2479,Dipl.-Ing. Liselotte Weimer B.Eng.,Individual,B2C,Germany,08857 87596,diplingliselotteweimerbeng@example.com,Standard Selling,EUR,True,,,,,Prof,Other
CUST-B2C-4080,Mary Wirth,Individual,Retail,Austria,+49(0) 009736291,marywirth@example.com,Standard Selling,EUR,True,,,,,Mr,Male
CUST-B2C-5816,Dipl.-Ing. Emanuel Bähr,Individual,Retail,Switzerland,(00870) 607470,diplingemanuelbähr@example.com,Standard Selling,EUR,False,,,,,Mrs,Female
CUST-B2C-8832,Melitta Dörschner,Individual,Retail,Austria,+49(0)1056 15536,melittadörschner@example.com,Standard Selling,EUR,True,,,,,Dr,Male
CUST-B2C-7538,Prof. Dennis Knappe B.A.,Individual,Retail,Germany,02367 335711,profdennisknappeba@example.com,Standard Selling,EUR,True,,,,,Mr,Other
CUST-B2C-6088,Hüseyin Liebelt,Individual,B2C,Switzerland,+49(0)2267711183,hüseyinliebelt@example.com,Standard Selling,EUR,True,,,,,Dr,Male
CUST-B2C-1629,Elisabeth Baum-Textor,Individual,Retail,Switzerland,05405237170,elisabethbaumtextor@example.com,Standard Selling,EUR,False,,,,,Dr,Male
CUST-B2C-4849,Georgios Römer B.A.,Individual,Retail,Germany,+49(0)2462 349181,georgiosrömerba@example.com,Standard Selling,EUR,True,,,,,Mrs,Other
CUST-B2C-9177,Traude Mangold MBA.,Individual,Retail,Switzerland,+49(0) 002898698,traudemangoldmba@example.com,Standard Selling,EUR,False,,,,,Mrs,Other
CUST-B2C-4477,Prof. Hans Jürgen Bauer,Individual,B2C,Switzerland,+49(0)4787733317,profhansjürgenbauer@example.com,Standard Selling,EUR,False,,,,,Mr,Male
CUST-B2C-5911,Catrin Klapp,Individual,B2C,Austria,(09961) 44245,catrinklapp@example.com,Standard Selling,EUR,True,,,,,Dr,Female
CUST-B2C-3720,Carolina Wähner B.Sc.,Individual,Retail,Germany,+49(0)8104140968,carolinawähnerbsc@example.com,Standard Selling,EUR,True,,,,,Ms,Female
CUST-B2C-9320,Sigmar Rudolph,Individual,B2C,Germany,09592609187,sigmarrudolph@example.com,Standard Selling,EUR,True,,,,,Mr,Other
CUST-B2C-1472,Gordana Huhn,Individual,B2C,Germany,07649 578828,gordanahuhn@example.com,Standard Selling,EUR,True,,,,,Mr,Female
CUST-B2C-1386,Frau Nina Mitschke,Individual,B2C,Switzerland,0263773699,frauninamitschke@example.com,Standard Selling,EUR,True,,,,,Ms,Female
CUST-B2C-8554,Univ.Prof. Elif Mülichen,Individual,B2C,Switzerland,+49(0)1747 81039,univprofelifmülichen@example.com,Standard Selling,EUR,False,,,,,Prof,Other
CUST-B2C-2549,Oliver Mies,Individual,Retail,Austria,(05304) 53898,olivermies@example.com,Standard Selling,EUR,True,,,,,Ms,Male
CUST-B2C-5812,Liesbeth Gutknecht,Individual,B2C,Germany,(01850) 500016,liesbethgutknecht@example.com,Standard Selling,EUR,True,,,,,Prof,Other
CUST-B2C-8630,Frau Felizitas Kabus B.Sc.,Individual,Retail,Germany,01489464386,fraufelizitaskabusbsc@example.com,Standard Selling,EUR,False,,,,,Dr,Female
CUST-B2C-2252,Aleksandr Gude,Individual,Retail,Austria,00835 15313,aleksandrgude@example.com,Standard Selling,EUR,True,,,,,Prof,Female
CUST-B2C-4228,Elma Hornich,Individual,B2C,Germany,(07791) 951337,elmahornich@example.com,Standard Selling,EUR,False,,,,,Dr,Other
CUST-B2C-4385,Cäcilia Pieper,Individual,B2C,Austria,+49(0) 902054980,cäciliapieper@example.com,Standard Selling,EUR,True,,,,,Dr,Other
CUST-B2C-2027,Jose Schüler MBA.,Individual,B2C,Austria,+49(0)2606 316937,joseschülermba@example.com,Standard Selling,EUR,True,,,,,Ms,Male
CUST-B2C-7932,Carsten Jopich,Individual,Retail,Austria,+49(0)2498 932307,carstenjopich@example.com,Standard Selling,EUR,True,,,,,Mrs,Female
CUST-B2C-3685,Elmar Mende,Individual,Retail,Switzerland,(00218) 43335,elmarmende@example.com,Standard Selling,EUR,True,,,,,Prof,Male
CUST-B2C-9422,Wera Rosemann-Jessel,Individual,Retail,Austria,06454 22201,werarosemannjessel@example.com,Standard Selling,EUR,False,,,,,Prof,Male
CUST-B2C-1872,Wladimir Hornig,Individual,Retail,Switzerland,+49(0)5085 72039,wladimirhornig@example.com,Standard Selling,EUR,True,,,,,Dr,Female
CUST-B2C-5485,Asta Pieper,Individual,B2C,Austria,+49(0)8047511276,astapieper@example.com,Standard Selling,EUR,False,,,,,Ms,Male
